,Price,Posting_Date,URL,Description,Rooms_and_Sqft,Nearby_Location
0,$1425,Tue 03 Dec 04:52:51 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031651522.html,Free Month Rent!! Luxury New Construction 1br/1.5ba Apts by UPENN!,"1br -
                    850ft2 -", (UPENN/ University City)
1,$3500,Tue 03 Dec 04:49:34 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-mirror-mirror-on-the-wall/7031648981.html,"Mirror, Mirror On The Wallâ¦","3br -
                    1310ft2 -", (101 S. 39th Street - University City)
2,$3095,Tue 03 Dec 04:48:39 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-how-to-upgrade-your-living/7031648277.html,How To Upgrade Your Living!,"2br -
                    1100ft2 -", (101 S. 39th Street - University City)
3,$5795,Tue 03 Dec 04:34:04 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-hamco-is-here-for-you-penn/7031637340.html,HamCo Is Here For You PENN STUDENTS ð,"5br -
                    1610ft2 -", (101 S. 39th Street - University City)
4,$3500,Tue 03 Dec 04:34:20 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-this-will-be-gone-by/7031637560.html,** This Will Be Gone By Tomorrow **,"3br -
                    1310ft2 -", (101 S. 39th Street - University City)
5,$3095,Tue 03 Dec 04:33:50 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-reward-for-you/7031637184.html,*** REWARD FOR YOU *** ð¥ð¥ð¥,"2br -
                    1100ft2 -", (101 S. 39th Street - University City)
6,$1914,Tue 03 Dec 03:57:45 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-bedroom-university-city/7030236193.html,"1- Bedroom University City, Philadelphia Close to Hospitals/ CHOP","1br -
                    696ft2 -",
7,$1750,Tue 03 Dec 03:47:24 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031601963.html,FREE MONTH RENT! Luxury New Construction 2br/1ba next to UPENN!!,"2br -
                    1000ft2 -", (UPENN/ University City)
8,$1750,Tue 03 Dec 03:48:04 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031602465.html,FREE MONTH RENT! Luxury New Construction 2br/1ba next to UPENN!!,"2br -
                    1000ft2 -", (UPENN/ University City)
9,$1875,Tue 03 Dec 03:45:41 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031600620.html,Free Month Rent!! Luxury New Construction 2br/2ba Apts by UPENN!,2br -, (UPENN/ University City)
10,$1825,Tue 03 Dec 03:46:15 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-new/7031601087.html,FREE Month Rent! New Construction 2br/1.5ba Bi Level Apts by UPENN!,"2br -
                    1200ft2 -", (UPENN/ University City)
11,$1425,Tue 03 Dec 03:46:46 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031601467.html,Free Month Rent!! Luxury New Construction 1br/1.5ba Apts by UPENN!,"1br -
                    850ft2 -", (UPENN/ University City)
12,$625,Tue 03 Dec 03:36:36 PM,https://philadelphia.craigslist.org/roo/d/philadelphia-room-available-in-3-bedroom/7025703672.html,Room available in 3 bedroom,, (University city)
13,$0,Tue 03 Dec 03:21:47 PM,https://philadelphia.craigslist.org/swp/d/philadelphia-mantua-off-market-rm1-for/7029089262.html,ð¨Mantua Off Market RM1 for Saleð¨,,
14,$2200,Tue 03 Dec 03:20:01 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-newly-renovated-4br-2ba-bi/7031580177.html,Newly Renovated 4br/2ba bi level Apt by Drexel University,4br -," (Drexel University, University City)"
15,$1895,Tue 03 Dec 03:21:17 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-newly-renovated-3br-2ba-bi/7031581259.html,Newly Renovated 3br/2ba Bi-Level Apt w/ yard by UPENN & Clark Park,3br -, (UPENN/ University City/ Clark Park)
16,$1500,Tue 03 Dec 03:14:04 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-two-bedrooms-near-drexel/7027887728.html,Two bedrooms near Drexel University,"2br -
                    800ft2 -"," (University City, Art Museum, CHOP)"
17,$1750,Tue 03 Dec 03:14:06 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031575285.html,FREE MONTH RENT! Luxury New Construction 2br/1ba next to UPENN!!,"2br -
                    1000ft2 -", (UPENN/ University City)
18,$0,Tue 03 Dec 03:05:15 PM,https://philadelphia.craigslist.org/reo/d/philadelphia-mantua-off-market-rm1-for/7029098721.html,ð¨Mantua Off Market RM1 for Saleð¨,,
19,$1425,Tue 03 Dec 03:02:26 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7031565569.html,Free Month Rent!! Luxury New Construction 1br/1.5ba Apts by UPENN!,"1br -
                    850ft2 -", (UPENN/ University City)
20,$1825,Tue 03 Dec 03:02:03 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-new/7031565235.html,FREE Month Rent! New Construction 2br/1.5ba Bi Level Apts by UPENN!,"2br -
                    1200ft2 -", (UPENN/ University City)
21,$750,Tue 03 Dec 02:59:52 PM,https://philadelphia.craigslist.org/roo/d/philadelphia-room-for-rent/7031563516.html,Room for rent,, (PHILADELPHIA)
22,$3099,Tue 03 Dec 02:55:17 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-walk-in-closets/7031559760.html,"Spacious walk-in closets, Internet cafe, Fully carpeted bedrooms","2br -
                    1009ft2 -",
23,$2248,Tue 03 Dec 02:52:27 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-bicycle-storage-room/7031557358.html,"Bicycle storage room, Outdoor grilling area, Yoga studio","1br -
                    686ft2 -",
24,$3014,Tue 03 Dec 02:47:20 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-walk-in-closets/7030170584.html,"Spacious walk-in closets, Moveable kitchen islands, Marble countertops","2br -
                    1009ft2 -",
25,$0,Tue 03 Dec 02:41:15 PM,https://philadelphia.craigslist.org/reb/d/philadelphia-mantua-off-market-rm1-for/7029096772.html,ð¨Mantua Off Market RM1 for Saleð¨,,
26,$1100,Tue 03 Dec 02:42:10 PM,https://philadelphia.craigslist.org/apa/d/awesome-spacious-bright-2-bedroom/7031548955.html,Awesome spacious & bright 2 bedroom available NOW Central A/C heattin,"2br -
                    900ft2 -", (UNIVERSITY CITY DREXEL/UPENN W Philly)
27,$2179,Tue 03 Dec 02:34:48 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-private-rooftop-lounge/7031542831.html,"Private rooftop lounge, State-of-the art fitness center, Internet cafe",545ft2 -,
28,$0,Tue 03 Dec 02:30:21 PM,https://philadelphia.craigslist.org/swp/d/philadelphia-looking-for-fixer-upper/7014671691.html,Looking for a fixer upper?,,
29,$1400,Tue 03 Dec 02:00:10 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-newly-renovated-3-bedroom/7015616309.html,Newly Renovated 3-bedroom near Drexel with Central Air & Washer/Dryer,3br -, (Drexel Univ 3828 Lancaster Ave Apt 2)
30,$1400,Tue 03 Dec 02:00:03 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-newly-renovated-3-bedroom/7015616685.html,Newly Renovated 3-bedroom Central Air Washer/Dryer Drexel University,"3br -
                    1426ft2 -", (Drexel Univ 3830 Lancaster Apt 2)
31,$1665,Tue 03 Dec 01:57:45 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-jr-1-bedroom-close-to/7021285518.html,Jr. 1- Bedroom Close to University City Hospitals,582ft2 -,
32,$850,Tue 03 Dec 01:22:31 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-available-now-at/7012979574.html,Studio available now at 531 Budd st!,, (University city)
33,$850,Tue 03 Dec 01:22:23 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7015328134.html,Great studio available now at 533 N Budd street!,, (University city)
34,$840,Tue 03 Dec 01:22:11 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7015332237.html,Great studio available now at 3412 Spring garden!,, (University city)
35,$950,Tue 03 Dec 01:22:03 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-furnished-1-bedroom/7015334503.html,Furnished 1 bedroom apartment available now at 3412 Spring garden!,1br -, (University city)
